Person_ID,ProjectEnrollment_ID,Client_Age_at_Entry,LastPermanentZip,ProjectEnrollmentDate,Destination,Start_Date,Exit_Date,Project_Name,HousingStatus_atProjectStart,LivingSituationBeforeProgram,ProjectStayHousehold_ID
181722,249757,46,93906,3/10/15,Other (HUD),1/23/12,4/16/14,MOSBE Franciscan Workers - House of Peace(3207),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),249757
181742,134063,25,93906,7/2/12,"Rental by client, no ongoing housing subsidy (HUD)",5/12/10,11/11/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134063
181743,134113,3,,7/2/12,"Rental by client, no ongoing housing subsidy (HUD)",5/12/10,11/11/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134063
181744,134114,0,,7/2/12,"Rental by client, no ongoing housing subsidy (HUD)",5/12/10,11/11/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134063
181745,138434,50,,1/9/12,"Rental by client, with VASH subsidy (HUD)",7/26/10,1/9/12,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Rental by client, no ongoing housing subsidy (HUD)",138434
181747,138337,46,94062,4/28/11,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",1/3/11,3/1/11,MOSBE Veterans Transition Center GPD(2862),Client doesn't know (HUD),Place not meant for habitation (HUD),138337
181751,134083,46,94560,1/5/12,"Rental by client, with VASH subsidy (HUD)",4/26/10,4/14/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134083
181753,134084,57,93927,3/11/11,Permanent housing for formerly homeless persons (HUD),4/27/10,3/4/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134084
181758,134090,57,95351,2/15/12,Permanent housing for formerly homeless persons (HUD),4/29/10,11/1/10,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),134090
181759,134091,52,95351,10/22/12,Permanent housing for formerly homeless persons (HUD),4/29/10,12/29/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),134091
181760,134092,38,93901,7/5/12,"Rental by client, no ongoing housing subsidy (HUD)",5/13/10,4/5/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",134092
181761,134116,13,93901,7/2/12,"Rental by client, no ongoing housing subsidy (HUD)",5/13/10,4/5/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134092
181762,141587,30,93955,8/28/14,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",10/14/11,10/14/13,MOSBE The Salvation Army - Casa de las Palmas(2088),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",141587
181787,206911,27,93955,5/2/13,Permanent housing for formerly homeless persons (HUD),7/8/11,5/2/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",206911
181791,210087,47,93921,1/29/14,"Jail, prison or juvenile detention facility (HUD)",3/26/13,11/1/13,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",210087
181791,315258,49,93940,10/27/14,,5/14/14,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),315258
181840,138432,59,93635,5/10/11,"Rental by client, with VASH subsidy (HUD)",8/2/10,4/15/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Substance abuse treatment facility or detox center (HUD),138432
181849,134220,26,93907,12/1/10,Transitional housing for homeless persons (including homeless youth) (HUD),5/17/10,11/30/10,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),Other (HUD),134220
181849,136791,27,93907,7/5/12,"Rental by client, no ongoing housing subsidy (HUD)",11/30/10,3/12/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),136791
181871,171279,30,95060,3/13/13,"Staying or living with family, permanent tenure (HUD)",9/21/11,1/30/13,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",171279
181922,134378,14,,7/6/12,"Rental by client, no ongoing housing subsidy (HUD)",6/2/10,7/3/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134377
181923,134379,1,,7/6/12,"Rental by client, no ongoing housing subsidy (HUD)",6/2/10,7/3/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134377
181941,134404,0,93905,6/7/12,"Staying or living with family, permanent tenure (HUD)",6/3/10,6/14/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),134403
181942,134405,6,,6/7/12,"Staying or living with family, permanent tenure (HUD)",6/3/10,6/14/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134403
181943,134406,2,,6/7/12,"Staying or living with family, permanent tenure (HUD)",6/3/10,6/14/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134403
182003,199567,48,93906,9/22/14,"Staying or living with family, permanent tenure (HUD)",1/31/13,9/18/14,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",199567
182008,134536,34,93921,9/8/14,Other (HUD),6/11/10,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134536
182008,136809,34,93921,12/1/10,"Rental by client, with other ongoing housing subsidy (HUD)",6/11/10,11/10/10,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136809
182008,224331,37,93901,12/9/13,"Jail, prison or juvenile detention facility (HUD)",9/26/13,11/27/13,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),224331
182009,227030,42,93906,1/28/14,"Rental by client, no ongoing housing subsidy (HUD)",4/24/12,1/28/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",206666
182010,134539,21,93906,9/8/14,Other (HUD),6/8/10,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Stably housed (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134539
182015,134542,29,93907,4/15/11,Transitional housing for homeless persons (including homeless youth) (HUD),5/28/10,4/7/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Stably housed (HUD),"Jail, prison or juvenile detention facility (HUD)",134542
182015,140664,30,93907,6/5/12,"Jail, prison or juvenile detention facility (HUD)",4/7/11,12/8/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),140664
182032,134573,21,93907,9/30/11,Transitional housing for homeless persons (including homeless youth) (HUD),6/7/10,10/6/10,zzz*inactive* MOSBE CHS-Genesis House(2090),,"Staying or living in a family member's room, apartment or house (HUD)",134573
182032,136752,21,93955,8/29/12,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",10/7/10,6/30/12,MOSBE CHS-Safe Passage(2816),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),136752
182033,134581,25,93905,9/8/14,Other (HUD),6/14/10,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Stably housed (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134581
182034,153422,49,93940,11/14/13,Permanent housing for formerly homeless persons (HUD),3/12/12,10/10/12,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),153422
182036,134589,0,93955,9/13/11,"Staying or living with family, permanent tenure (HUD)",6/16/10,3/18/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134588
182070,171296,2,93905,7/9/12,Foster care home or foster care group home (HUD),10/6/11,7/9/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",171295
182096,140949,16,93933,2/7/12,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",1/11/10,6/6/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136911
182099,136090,25,93901,3/29/11,"Staying or living with family, permanent tenure (HUD)",9/20/10,3/21/11,zzz*inactive* MOSBE CHS-Genesis House(2090),At-risk of homelessness (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136090
182111,208345,26,93907,6/24/15,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",4/4/13,3/20/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Other (HUD),208345
182112,208346,4,93905,6/24/15,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",4/4/13,3/20/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),208345
182126,473140,37,93933,6/15/15,,6/15/15,,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),473140
182127,479785,32,93926,10/7/15,,8/27/15,,MOSBE The Salvation Army - Casa de las Palmas(2088),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a family member's room, apartment or house (HUD)",479785
182128,479789,8,93926,10/7/15,,8/27/15,,MOSBE The Salvation Army - Casa de las Palmas(2088),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a family member's room, apartment or house (HUD)",479785
182139,138566,42,93906,9/13/11,Transitional housing for homeless persons (including homeless youth) (HUD),3/3/11,9/12/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",138566
182139,140740,42,93955,1/28/13,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",9/12/11,11/2/11,MOSBE CHS-Elm House(2142),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),140740
182142,137943,61,95052,2/8/11,"Rental by client, with VASH subsidy (HUD)",7/19/10,2/2/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",137943
182143,138437,70,,8/24/11,"Rental by client, with VASH subsidy (HUD)",8/12/10,8/7/11,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",138437
182154,134823,20,93940,4/20/11,"Staying or living with family, permanent tenure (HUD)",6/23/10,4/5/11,MOSBE CHS-Safe Passage(2816),Category 1 - Homeless (HUD),Other (HUD),134823
182158,136058,1,93933,10/14/11,"Staying or living with family, permanent tenure (HUD)",7/1/10,6/30/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136056
182159,136057,0,93933,10/14/11,"Staying or living with family, permanent tenure (HUD)",7/1/10,6/30/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136056
182161,136975,35,93955,1/28/13,Other (HUD),12/9/10,7/5/11,MOSBE CHS-Elm House(2142),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136975
182190,136774,46,93950,7/13/11,Safe Haven (HUD),11/17/10,3/30/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Stably housed (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),136774
182201,134878,34,93955,12/21/10,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",7/1/10,12/20/10,zzz*inactive* MOSBE CHS-Genesis House(2090),,"Staying or living in a friend's room, apartment or house (HUD)",134878
182201,170888,34,93955,6/5/12,"Rental by client, with other ongoing housing subsidy (HUD)",4/6/11,4/16/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",170888
182202,206430,22,93922,6/24/15,"Rental by client, with other ongoing housing subsidy (HUD)",3/19/13,7/31/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",206430
182224,210124,50,93933,10/26/15,Hotel or motel paid for without emergency shelter voucher (HUD),4/26/12,1/30/15,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),210124
182228,376633,34,93955,6/24/15,Substance abuse treatment facility or detox center (HUD),6/19/14,5/12/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Stably housed (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",376633
182230,376634,11,93955,1/27/15,Foster care home or foster care group home (HUD),6/19/14,12/16/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Foster care home or foster care group home (HUD),376633
182231,376635,9,93955,6/24/15,Foster care home or foster care group home (HUD),6/19/14,2/23/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Foster care home or foster care group home (HUD),376633
182233,134944,0,93933,6/11/12,"Rental by client, no ongoing housing subsidy (HUD)",7/7/10,1/27/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134942
182234,134943,0,93933,6/11/12,"Rental by client, no ongoing housing subsidy (HUD)",7/7/10,1/27/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134942
182235,134945,31,93955,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",1/22/10,7/20/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134945
182236,134949,9,93955,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",1/22/10,7/20/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134945
182237,134948,7,93955,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",1/22/10,7/20/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134945
182238,134947,5,93955,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",1/22/10,7/20/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134945
182239,134946,0,93955,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",1/22/10,7/20/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134945
182240,140956,7,93955,5/7/12,"Rental by client, no ongoing housing subsidy (HUD)",4/12/10,2/13/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",133889
182240,317791,11,93940,6/9/14,,5/20/14,,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Safe Haven (HUD),317789
182242,140955,1,93955,5/7/12,"Rental by client, no ongoing housing subsidy (HUD)",4/12/10,2/13/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",133889
182242,317790,5,93940,6/9/14,,5/20/14,,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Safe Haven (HUD),317789
182243,135227,26,95012,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",4/29/10,11/10/11,MOSBE SOP: Transitional Housing - Lexington Court(2136),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",134962
182244,135228,7,95012,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",4/29/10,11/10/11,MOSBE SOP: Transitional Housing - Lexington Court(2136),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",134962
182245,135229,2,95012,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",4/29/10,11/10/11,MOSBE SOP: Transitional Housing - Lexington Court(2136),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",134962
182247,138465,56,,3/14/11,"Rental by client, with VASH subsidy (HUD)",9/15/10,3/9/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Rental by client, no ongoing housing subsidy (HUD)",138465
182274,135075,29,93901,7/18/12,"Rental by client, no ongoing housing subsidy (HUD)",7/13/10,7/17/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135075
182275,135077,1,,7/18/12,"Rental by client, no ongoing housing subsidy (HUD)",7/13/10,7/17/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135075
182276,135076,4,,7/18/12,"Rental by client, no ongoing housing subsidy (HUD)",7/13/10,7/17/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135075
182291,140913,37,93955,11/14/13,"Rental by client, with other ongoing housing subsidy (HUD)",8/2/11,4/12/12,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),140913
182299,138467,68,93901,7/22/11,"Rental by client, with VASH subsidy (HUD)",9/15/10,7/11/11,MOSBE Veterans Transition Center GPD(2862),Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)",138467
182305,138463,50,93643,9/25/12,"Rental by client, with VASH subsidy (HUD)",10/26/10,9/8/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Rental by client, no ongoing housing subsidy (HUD)",138463
182306,136861,35,93933,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",11/8/10,7/1/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136861
182307,136863,4,93933,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",11/8/10,7/1/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136861
182308,136862,3,93933,1/3/12,"Rental by client, no ongoing housing subsidy (HUD)",11/8/10,7/1/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136861
182309,138433,56,95076,10/17/11,"Rental by client, with VASH subsidy (HUD)",9/15/10,10/3/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Staying or living in a friend's room, apartment or house (HUD)",138433
182327,135184,29,93933,7/2/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/20/10,6/21/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135184
182328,135187,22,93933,7/2/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/20/10,6/21/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135184
182329,135186,1,93933,7/2/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/20/10,6/21/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135184
182330,135185,11,93933,7/2/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/20/10,6/21/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135184
182336,135206,8,93940,6/14/13,"Rental by client, no ongoing housing subsidy (HUD)",7/21/10,7/7/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",135205
182355,135222,25,93933,6/26/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/23/10,3/7/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",135222
182356,135223,5,93933,6/26/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/23/10,3/7/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",135222
182357,135224,1,93933,6/26/12,"Rental by client, with other ongoing housing subsidy (HUD)",7/23/10,3/7/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",135222
182361,383926,5,93906,10/20/15,"Rental by client, no ongoing housing subsidy (HUD)",9/3/14,2/2/15,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",383924
182386,147001,48,93901,11/8/12,"Rental by client, no ongoing housing subsidy (HUD)",12/15/11,11/1/12,MOSBE CHS-Elm House(2142),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),147001
182390,140992,33,93313,6/29/12,"Rental by client, no ongoing housing subsidy (HUD)",9/10/11,6/28/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",138294
182392,135287,28,,12/16/10,Permanent housing for formerly homeless persons (HUD),6/7/10,12/13/10,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",135287
182393,135291,44,93940,5/24/12,"Rental by client, no ongoing housing subsidy (HUD)",6/9/10,6/30/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),135291
182395,135292,58,93907,5/23/12,Permanent housing for formerly homeless persons (HUD),6/11/10,5/3/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",135292
182404,135306,27,93907,6/8/11,Transitional housing for homeless persons (including homeless youth) (HUD),7/1/10,3/1/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",135306
182405,135307,48,93927,5/24/12,Transitional housing for homeless persons (including homeless youth) (HUD),7/9/10,5/23/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",135307
182406,135309,44,,6/8/11,Transitional housing for homeless persons (including homeless youth) (HUD),5/27/10,12/16/10,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",135309
182408,136870,43,95012,6/5/12,"Rental by client, no ongoing housing subsidy (HUD)",11/1/10,6/2/12,MOSBE SOP: Transitional Housing - Lexington Court(2136),At-risk of homelessness (HUD),Subsidized Housing,136870
182429,136195,11,93940,3/27/13,"Staying or living with family, permanent tenure (HUD)",10/13/10,6/25/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136194
182446,135330,40,93534,9/10/14,Permanent housing for formerly homeless persons (HUD),8/4/10,1/10/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135330
182452,140991,8,93313,6/29/12,"Rental by client, no ongoing housing subsidy (HUD)",9/10/11,6/28/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",138294
182453,138284,66,95066,5/11/11,"Rental by client, with VASH subsidy (HUD)",9/1/10,5/6/11,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),138284
182477,135347,24,,12/15/10,"Rental by client, with other ongoing housing subsidy (HUD)",8/5/10,12/8/10,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",135347
182477,139037,24,,4/15/11,Place not meant for habitation (HUD),4/7/11,4/11/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),139037
182478,136194,38,93907,3/27/13,"Staying or living with family, permanent tenure (HUD)",10/13/10,6/25/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136194
182489,137968,28,94578,2/8/11,Client doesn't know (HUD),10/26/10,12/26/10,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Substance abuse treatment facility or detox center (HUD),137968
182490,138459,59,97420,3/13/12,"Rental by client, with VASH subsidy (HUD)",10/1/10,3/10/12,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Substance abuse treatment facility or detox center (HUD),138459
182492,138209,53,,3/16/11,"Jail, prison or juvenile detention facility (HUD)",9/15/10,2/25/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),"Staying or living in a friend's room, apartment or house (HUD)",138209
182497,144112,38,79007,11/9/12,"Rental by client, no ongoing housing subsidy (HUD)",10/19/10,9/17/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",144112
182498,144113,8,79007,11/9/12,"Rental by client, no ongoing housing subsidy (HUD)",10/19/10,9/17/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",144112
